name,Borough,BUILDING,STREET,ZIPCODE,PHONE,cuisine_description,latitude,longitude,is_vegan,is_vegetarian,is_kids_friendly,ticket_price,Information
CHINA ONE RESTAURANT,Bronx,334,EAST GUN HILL ROAD,10467,7187980109,Chinese,40.87880862,-73.87319806,0,0,0,14.78,The cuisine is Chinese
NARUTO RAMEN,Manhattan,1596,3 AVENUE,10128,2122897803,Japanese,40.781123,-73.95231846,0,0,0,33.09,The cuisine is Japanese
,Brooklyn,3324,FULTON STREET,11208,9175245534,,40.6834339,-73.87290037,0,0,0,14.86,
ROOSTER'S FRIED CHICKEN & PIZZA,Queens,4812,BROADWAY,11103,7184069661,Chicken,40.75590818,-73.91251298,0,0,0,47.32,The cuisine is Chicken
KENNEDY FRIED CHICKEN,Bronx,879,EAST TREMONT AVENUE,10460,7182990045,Chicken,40.8428,-73.88583004,0,0,1,26.26,The cuisine is Chicken
VINNIE'S PIZZERIA,Brooklyn,148,BEDFORD AVENUE,11249,7187827078,Pizza,40.71880767,-73.95668859,0,1,0,36.51,The cuisine is Pizza
SOFIA'S TAQUERIA,Staten Island,977,BAY STREET,10305,9293082324,Tex-Mex,40.61869274,-74.06951235,0,1,1,22.78,The cuisine is Tex-Mex
SALA THAI,Manhattan,307,AMSTERDAM AVENUE,10023,2124333999,Thai,40.78018704,-73.98046547,0,1,0,47.94,The cuisine is Thai
STANDINGS,Manhattan,43,EAST    7 STREET,10003,2124200671,American,40.72811729,-73.98844362,0,0,0,41.51,The cuisine is American
CINNABON,Brooklyn,5174,KINGS PLAZA MALL,11234,7182520595,Bakery Products/Desserts,40.61011256,-73.92200048,0,1,1,20.25,The cuisine is Bakery Products/Desserts
HUNAN PARK,Manhattan,721,COLUMBUS AVENUE,10025,2122226511,Chinese,40.792327,-73.96789756,1,1,1,12.22,The cuisine is Chinese
THE LONG ROOM,Manhattan,120,WEST   44 STREET,10036,2129973933,Irish,40.75645368,-73.98395204,1,1,1,25.79,The cuisine is Irish
DIAMOND LIL,Brooklyn,179,NASSAU AVENUE,11222,9177538273,American,40.72534394,-73.94604481,1,1,0,41.91,The cuisine is American
WAFELS & DINGES,Manhattan,102,W 35TH ST,10001,2125162947,French,40.75054191,-73.98754102,1,1,1,45.81,The cuisine is French
YAKITORI SUN-CHAN,Manhattan,2707,BROADWAY,10025,2127495008,Japanese,40.7993784,-73.96841064,1,1,0,14.04,The cuisine is Japanese
SERGIMMO SALUMERIA,Manhattan,456,9 AVENUE,10018,2129674212,Italian,40.75430557,-73.99561818,1,1,0,10.38,The cuisine is Italian
DIVYA'S KITCHEN,Manhattan,25,1 AVENUE,10003,2124774834,Vegetarian,40.72365427,-73.98816299,0,1,0,22.4,The cuisine is Vegetarian
HANSHIN POCHA,Queens,14946,41ST AVE,11355,3475060806,Korean,40.7624175,-73.81452568,0,0,1,13.36,The cuisine is Korean
LUCKY ZHANG'S FAMILY,Brooklyn,5622,8 AVENUE,11220,7184393366,Chinese,40.63758124,-74.0073935,0,1,1,13.08,The cuisine is Chinese
THE CROSBY STREET HOTEL,Manhattan,79,CROSBY STREET,10012,2122266400,American,40.72294671,-73.99771993,1,1,1,27.8,The cuisine is American
OLGA'S PIZZA,Manhattan,3409,BROADWAY,10031,2122347878,Pizza,40.82230567,-73.95347033,1,1,1,37.96,The cuisine is Pizza
PEPPAS,Brooklyn,8021,FLATLANDS AVENUE,11236,3059243340,Caribbean,40.63565459,-73.91306036,0,0,0,31.76,The cuisine is Caribbean
BOON THAI,Brooklyn,681,MANHATTAN AVENUE,11222,7183498215,Thai,40.72495936,-73.9514821,1,1,0,36.78,The cuisine is Thai
PARIS CAFE,Queens,0,JFK AIRPORT,11430,6179470581,American,40.64831283,-73.7882815,0,1,1,14.96,The cuisine is American
SALVO'S,Manhattan,1477,YORK AVENUE,10075,6465901925,Pizza,40.77091461,-73.95078781,1,1,0,42.86,The cuisine is Pizza
FARMERS PIZZA & GRILL,Queens,11725,FARMERS BOULEVARD,11412,7187232003,American,40.69080874,-73.76226598,1,1,1,34.56,The cuisine is American
LA ESQUINA DEL SABOR RESTAURANT,Queens,9901,NORTHERN BLVD,11368,7184047351,Latin American,40.75724502,-73.86935155,1,1,0,46.24,The cuisine is Latin American
MYRTLE THAI RESTAURANT,Brooklyn,438,MYRTLE AVENUE,11205,7184221142,Thai,40.69318898,-73.96807169,1,1,1,43.57,The cuisine is Thai
QUEENS SEAFOOD RESTAURANT,Queens,8222,45TH AVE,11373,7184783330,Chinese,40.74163342,-73.88261187,1,1,1,32.36,The cuisine is Chinese
CARVEL,Queens,10321,METROPOLITAN AVE,11375,3474944691,Frozen Desserts,40.71019967,-73.84919071,0,0,0,29.83,The cuisine is Frozen Desserts
OTTO'S TACOS,Manhattan,141,SECOND AVENUE,10003,6466784018,Tex-Mex,40.72901197,-73.98737909,0,0,0,22.88,The cuisine is Tex-Mex
CHEEBURGER CHEEBURGER,Queens,10850,QUEENS BOULEVARD,11375,7189978600,Hamburgers,40.72058454,-73.8420674,0,0,0,10.85,The cuisine is Hamburgers
CAFE 47,Manhattan,47,WEST   66 STREET,10023,6467408369,American,40.77298749,-73.98008127,0,0,0,33.54,The cuisine is American
DAWA'S,Queens,5118,SKILLMAN AVE,11377,7188998629,Coffee/Tea,40.7459366,-73.91270658,1,1,0,28.8,The cuisine is Coffee/Tea
HANG SHING KITCHEN,Queens,10409,METROPOLITAN AVENUE,11375,7187931550,Chinese,40.71009454,-73.84855972,0,0,1,40.69,The cuisine is Chinese
MERMAID SPORTS BAR,Queens,3106,31 STREET,11106,3476425133,Pizza,40.76388703,-73.92383765,0,0,1,11.61,The cuisine is Pizza
XI TOP BBQ,Queens,4030,149TH PL,11354,9172852790,Chinese,40.7626185,-73.81491859,0,0,1,30.35,The cuisine is Chinese
"DUN HUANG UPPER WEST SIDE, MELLOW TEA",Manhattan,1268,AMSTERDAM AVENUE,10027,6464764549,Chinese,40.8109442,-73.95805172,0,1,0,25.72,The cuisine is Chinese
AMERICAN CUT,Manhattan,111,EAST   56 STREET,10022,2123885277,American,40.76066973,-73.97060936,1,1,0,15.61,The cuisine is American
HUNAN HOUSE,Manhattan,40,WEST   56 STREET,10019,2122132299,Chinese,40.76285578,-73.97584271,1,1,1,28.95,The cuisine is Chinese
ROCKAWAY CAFE,Queens,0,JFK BUILDING 250,11430,7182900840,American,40.65305472,-73.76787539,0,0,0,31.18,The cuisine is American
DAISY PIZZA,Queens,2817,36TH AVE,11106,7187867861,Pizza,40.75760937,-73.93193395,0,1,0,47.05,The cuisine is Pizza
BURGER KING,Queens,9283,QUEENS BOULEVARD,11374,7185750116,Hamburgers,40.73177314,-73.86656565,1,1,1,48.22,The cuisine is Hamburgers
CAFE COLETTE,Brooklyn,79,BERRY STREET,11249,3475991381,American,40.71985929,-73.95766915,1,1,0,25.58,The cuisine is American
"DUNKIN , BASKIN ROBBINS",Manhattan,100,1 AVENUE,10009,2124207031,Donuts,40.72647291,-73.98609156,1,1,0,26.75,The cuisine is Donuts
FAT BUDDHA,Manhattan,212,AVENUE A,10009,2125980500,Asian/Asian Fusion,40.72985918,-73.98074006,1,1,0,31.08,The cuisine is Asian/Asian Fusion
S S CALABRO PIZZERIA,Queens,3065,14 STREET,11102,7182785262,Pizza,40.76935644,-73.93110599,0,1,1,34.97,The cuisine is Pizza
AGORA TURKISH RESTAURANT,Manhattan,1565,SECOND AVENUE,10028,2127171220,Turkish,40.77484642,-73.95395854,0,0,1,21.48,The cuisine is Turkish
LA PERLA DEL ULUA RESTAURANT,Brooklyn,354,MELROSE STREET,11237,7183669407,Spanish,40.70368331,-73.9280255,1,1,0,14.39,The cuisine is Spanish
SOL DE QUITO RESTAURANT,Brooklyn,189,IRVING AVENUE,11237,7184174174,Spanish,40.7017231,-73.91912665,0,1,1,18.39,The cuisine is Spanish
BARROW'S PUB,Manhattan,463,HUDSON STREET,10014,2127419349,Irish,40.73149923,-74.00666068,0,1,1,18.94,The cuisine is Irish
LUCKY DOG,Brooklyn,303,BEDFORD AVENUE,11211,3472944971,American,40.7135478,-73.96188638,1,1,1,11.92,The cuisine is American
LA KUCHARA,Queens,9507,31ST AVE,11369,7186077758,Latin American,40.76057607,-73.8732688,0,0,1,14.38,The cuisine is Latin American
STARBUCKS,Manhattan,124,8 AVENUE,10011,2124622020,Coffee/Tea,40.74119941,-74.0014507,0,1,0,17.5,The cuisine is Coffee/Tea
PATRICIA'S,Bronx,1082,MORRIS PARK AVENUE,10461,7184099069,Italian,40.84930957,-73.85353693,1,1,0,41.1,The cuisine is Italian
KALAMAKI GR,Queens,2906,172ND ST,11358,7189391616,Greek,40.77001984,-73.79325796,1,1,1,14.32,The cuisine is Greek
JUST LORRAINE'S PLACE,Manhattan,2247,ADAM CLAYTON POWELL BOULEVARD,,2122340720,American,0,0,0,0,1,46.51,The cuisine is American
NEAPOLITAN EXPRESS,Manhattan,512,7 AVENUE,10018,9174840805,Pizza,40.75327584,-73.98896981,0,0,1,30.87,The cuisine is Pizza
CAFE GALLERY,Brooklyn,2801,CONEY ISLAND AVENUE,11235,7186767979,Mediterranean,40.58829202,-73.96041717,1,1,0,45.89,The cuisine is Mediterranean
"GOTHAM CAFE, SKYLIGHT LOUNGE (INSIDE THE WATSON HOTEL)",Manhattan,440,WEST   57 STREET,10019,2126346115,American,40.76842669,-73.98695642,0,1,1,16.15,The cuisine is American
SUBWAY,Manhattan,221,7 AVENUE,10011,6467191239,Sandwiches,40.7439194,-73.995756,1,1,0,11.04,The cuisine is Sandwiches
LA ISLA CUCHIFRITOS,Bronx,510,WILLIS AVENUE,10455,7184147213,Latin American,40.81522386,-73.91835958,0,1,1,25.29,The cuisine is Latin American
ESTRELLITA POBLANA,Bronx,45-46,WESTCHESTER SQUARE,10461,7182398290,Mexican,40.84221287,-73.84401473,0,0,1,31.77,The cuisine is Mexican
MUSTANG THAKALI KITCHEN,Queens,74-14,37 AVENUE,11372,7188985088,Asian/Asian Fusion,40.74897345,-73.89151703,1,1,1,16.62,The cuisine is Asian/Asian Fusion
DON ALEX RESTAURANT,Queens,8410,37 AVENUE,11372,7184240233,Peruvian,40.74994693,-73.88224346,1,1,0,25.77,The cuisine is Peruvian
MINI STAR RESTAURANT,Queens,3002,STEINWAY STREET,11103,7187289572,American,40.76346937,-73.91534762,0,1,0,11.21,The cuisine is American
MUSTARD PANINI BAR,Brooklyn,462,AVENUE P,11223,7186451888,Jewish/Kosher,40.60908954,-73.97039903,0,0,1,14.73,The cuisine is Jewish/Kosher
BEECHER'S HANDMADE CHEESE,Manhattan,900,BROADWAY,10003,2124663340,American,40.73910196,-73.98977327,1,1,1,43.77,The cuisine is American
BEST WESTERN GREGORY HOTEL,Brooklyn,8315,4 AVENUE,11209,7182383737,American,40.6248369,-74.02750058,0,0,0,41.73,The cuisine is American
GOURMET 45,Manhattan,721,3 AVENUE,10017,2126826220,Sandwiches,40.75277638,-73.97296614,1,1,0,21.59,The cuisine is Sandwiches
JORA RESTAURANT AND BAR,Queens,4746,11TH ST,11101,7183922033,Peruvian,40.74410393,-73.95108557,0,1,0,35.9,The cuisine is Peruvian
COOL FRESH JUICE BAR,Manhattan,333,6 AVENUE,10014,6467569928,"Juice, Smoothies, Fruit Salads",40.73140884,-74.00117626,1,1,0,43.52,"The cuisine is Juice, Smoothies, Fruit Salads"
SAKIB,Brooklyn,349,BEDFORD AVENUE,11211,9179090677,Mediterranean,40.71198635,-73.96287202,1,1,0,11,The cuisine is Mediterranean
DO OR DIVE,Brooklyn,1108,BEDFORD AVENUE,11216,3474068241,American,40.68680833,-73.95461091,1,1,1,43.04,The cuisine is American
PETALUMA,Manhattan,1356,1 AVENUE,10021,2127728800,Italian,40.76818009,-73.95570688,0,0,1,35.31,The cuisine is Italian
EMPANADA LOCA,Brooklyn,606,5 AVENUE,11215,7183692118,American,40.66378279,-73.99092028,0,0,0,24.04,The cuisine is American
THE SPOT CAFE,Queens,4324,43RD AVE,11104,7187305676,"Juice, Smoothies, Fruit Salads",40.74517397,-73.92083486,1,1,0,17.31,"The cuisine is Juice, Smoothies, Fruit Salads"
PICASSO PIZZERIA,Manhattan,303,SOUTH END AVENUE,10280,2123212616,Pizza,40.71024827,-74.01632535,0,1,0,41.13,The cuisine is Pizza
TOURNESOL,Queens,50-12,VERNON BOULEVARD,11101,7184724355,French,40.74256264,-73.95417581,0,0,0,34.91,The cuisine is French
BOWLERO,Queens,6910,34 AVENUE,11377,7186510440,American,40.7524752,-73.8968567,1,1,0,40.87,The cuisine is American
MR. PIZZA,Staten Island,2325,RICHMOND AVENUE,10314,7183700102,Pizza,40.59142733,-74.16478751,0,0,1,45.24,The cuisine is Pizza
LE PARISIEN,Manhattan,163,EAST   33 STREET,10016,2128895489,French,40.74545197,-73.97953737,1,1,0,17.96,The cuisine is French
GOTHAM STADIUM TENNIS CENTER CAFE,Bronx,725,EXTERIOR STREET,10451,7186654684,Coffee/Tea,40.82345815,-73.93102085,0,0,1,34.84,The cuisine is Coffee/Tea
GOOD HEALTH CAFE,Manhattan,1435,1 AVENUE,10021,2125179898,Soups/Salads/Sandwiches,40.7695713,-73.95471675,1,1,1,37.67,The cuisine is Soups/Salads/Sandwiches
THE HALAL GUYS,Manhattan,720,AMSTERDAM AVENUE,10025,2126653033,Middle Eastern,40.79347782,-73.97079346,1,1,0,44.87,The cuisine is Middle Eastern
BO'S BAGELS,Manhattan,235,WEST  116 STREET,10026,9179028345,Bagels/Pretzels,40.80385297,-73.95401787,1,1,0,49.9,The cuisine is Bagels/Pretzels
ZARO'S BREAD BASKET,Manhattan,89,EAST   42 STREET,10017,2122920163,Bakery Products/Desserts,40.75209393,-73.97760435,1,1,0,19.31,The cuisine is Bakery Products/Desserts
POLLO DORADO FRIED CHICKEN,Manhattan,1497,ST NICHOLAS AVENUE,10033,2127952569,Latin American,40.85179811,-73.93192756,0,0,0,35.23,The cuisine is Latin American
CAFE BISTRO,Manhattan,312,WEST   34 STREET,10001,9172612450,American,40.75245828,-73.99413848,0,1,0,40.03,The cuisine is American
LUCKY STRIKE,Manhattan,624660,WEST   42 STREET,,6468290170,American,0,0,1,1,1,14.85,The cuisine is American
MARGARITA'S,Bronx,915,AVENUE SAINT JOHN,10455,9172166715,Spanish,40.81577173,-73.9028674,1,1,0,33.48,The cuisine is Spanish
MIS TIERRAS COLOMBIANAS,Queens,54-08,ROOSEVELT AVENUE,11377,7186727272,Latin American,40.74477923,-73.91034066,0,1,1,26.3,The cuisine is Latin American
MADISON'S PIZZERIA,Queens,775,WOODWARD AVENUE,11385,7188318555,Pizza,40.70384678,-73.90390031,0,1,1,10.98,The cuisine is Pizza
COMMONS CAFE,Staten Island,2,TELEPORT DRIVE,10314,3474664207,American,40.60371321,-74.17927334,1,1,0,47.77,The cuisine is American
LIBERTY TAVERN,Staten Island,382,FOREST AVENUE,10301,7184428121,American,40.63098142,-74.10211898,1,1,1,45.16,The cuisine is American
44 & X HELL'S KITCHEN,Manhattan,622,10 AVENUE,10036,2129771170,American,40.76115643,-73.99434347,0,1,0,43.47,The cuisine is American
MCDONALD'S,Queens,8003,QUEENS BOULEVARD,11373,7184781204,Hamburgers,40.73797025,-73.88368647,0,1,0,19.15,The cuisine is Hamburgers
HOT POTATO HOUSE,Brooklyn,109,ORIENTAL BOULEVARD,11235,7189757990,Eastern European,40.57691738,-73.9525728,1,1,1,19.59,The cuisine is Eastern European
NO. 1 CHINESE RESTAURANT,Queens,8817,JAMAICA AVE,11421,7188466688,Chinese,40.69269143,-73.85612887,0,1,1,42.17,The cuisine is Chinese
OOTOYA JAPANESE RESTAURANT,Manhattan,8,WEST   18 STREET,10011,2122550018,Japanese,40.73875358,-73.99242562,0,0,1,35.37,The cuisine is Japanese
GHOROA RESTAURANT,Queens,16841,HILLSIDE AVE,11432,7182629100,Bangladeshi,40.71044807,-73.79366707,1,1,1,32.26,The cuisine is Bangladeshi
FRANK'S TRATTORIA,Manhattan,371,1 AVENUE,10010,2126777140,Pizza,40.73594677,-73.97907121,0,1,1,49.29,The cuisine is Pizza
RAJDHANI INDIAN RESTUARANT,Queens,206-08,HILLSIDE AVENUE,11427,7184649100,Indian,40.72118987,-73.7592278,1,1,0,24.9,The cuisine is Indian
Yummy Kitchen,Queens,21613,LINDEN BLVD,11411,7185590783,Chinese,40.6961367,-73.74332845,1,1,0,49.04,The cuisine is Chinese
A+ ROOF BAR,Queens,3916,COLLEGE POINT BLVD,11354,9178558916,Bottled Beverages,40.75879748,-73.83447918,0,1,1,43.29,The cuisine is Bottled Beverages
CHIPOTLE MEXICAN GRILL,Manhattan,200,VARICK STREET,10014,6463366264,Tex-Mex,40.72834007,-74.00534345,1,1,0,37.35,The cuisine is Tex-Mex
DAE JAN GUEM,Queens,136-20,ROOSEVELT AVENUE,11354,7189398688,Korean,40.75977791,-73.82923543,0,0,0,17.75,The cuisine is Korean
DEMO KITCHEN,Manhattan,1000,3 AVENUE,10022,2127052232,American,40.76188723,-73.96634923,0,1,1,20.94,The cuisine is American
STEPHLOVAS CAFE,Brooklyn,952,UTICA AVENUE,11203,3473652038,Coffee/Tea,40.64959332,-73.93016343,1,1,1,43.12,The cuisine is Coffee/Tea
DAME,Manhattan,87,MACDOUGAL STREET,10012,5129637631,,40.72895776,-74.00137466,1,1,1,27.93,
TEA SHOP AND BAKERY,Queens,6109,UTOPIA PKWY,11365,7188866889,Bakery Products/Desserts,40.73867676,-73.79293699,0,1,1,47.49,The cuisine is Bakery Products/Desserts
