name,latitude,longitude,ticket_price,Information
Hudson River Greenway,40.7563,-74.0104,0,"The Hudson River Greenway is a waterfront park and bikeway that runs along the Hudson River on the west side of Manhattan. It offers stunning views of the river and the New Jersey skyline, as well as recreational opportunities for cyclists, joggers, and pedestrians."
Fort Tryon Park,40.8651,-73.9317,0,"Fort Tryon Park is a public park in the Washington Heights neighborhood of Manhattan, New York City. It is home to the Cloisters museum and gardens, as well as extensive walking paths and gardens."
Highbridge Park,40.8424,-73.9311,0,"Highbridge Park is a scenic park located in the Washington Heights neighborhood of Manhattan, New York City. It features wooded trails, athletic fields, and the historic High Bridge, the city's oldest bridge."
Queensbridge Park,40.7561,-73.945,0,"Queensbridge Park is a waterfront park located along the East River in Long Island City, Queens. It offers stunning views of the Manhattan skyline and features sports fields, playgrounds, and picnic areas."
Wave Hill,40.8989,-73.9122,0,"Wave Hill is a public garden and cultural center located in the Riverdale neighborhood of the Bronx, New York City. It offers stunning views of the Hudson River and the Palisades, as well as gardens, woodlands, and historic houses."
Floral Park,40.7524,-73.7087,0,"Floral Park is a residential neighborhood in the borough of Queens, New York City. While not a public park, it is known for its tree-lined streets, well-manicured lawns, and vibrant community."
Forest Park,40.6993,-73.862,0,"Forest Park is a large public park located in the boroughs of Queens and Brooklyn, New York City. It features wooded trails, sports fields, and recreational facilities, as well as the historic Forest Park Carousel."
Battery Park City,40.7113,-74.0166,0,"Battery Park City is a planned community located on the southwestern tip of Manhattan, New York City. It features parks, promenades, and public art installations, as well as residential and commercial developments."
East River State Park,40.7217,-73.964,0,"East River State Park is a waterfront park located in the Williamsburg neighborhood of Brooklyn, New York City. It offers stunning views of the Manhattan skyline and features recreational amenities such as a waterfront esplanade and picnic areas."
Carl Schurz Park,40.7757,-73.9437,0,"Carl Schurz Park is a public park located in the Yorkville neighborhood of Manhattan, New York City. It is known for its scenic waterfront views, dog-friendly amenities, and historic Gracie Mansion."
Franklin D. Roosevelt Four Freedoms Park,40.7569,-73.9492,0,"Franklin D. Roosevelt Four Freedoms Park is a memorial park located on Roosevelt Island in the East River, New York City. It honors the legacy of President Franklin D. Roosevelt and his Four Freedoms speech."
Brooklyn Bridge Park,40.694,-73.9997,0,"Brooklyn Bridge Park is a waterfront park located along the East River in Brooklyn, New York City. It features recreational piers, walking paths, and stunning views of the Manhattan skyline and the Brooklyn Bridge."
Corlears Hook Park,40.7124,-73.9778,0,"Corlears Hook Park is a waterfront park located on the Lower East Side of Manhattan, New York City. It offers stunning views of the East River and the Williamsburg Bridge, as well as recreational amenities such as sports fields and playgrounds."
Madison Square Park,40.742,-73.9887,0,"Madison Square Park is a public park located in the Flatiron District of Manhattan, New York City. It is known for its historic statues, lush greenery, and vibrant seasonal events."
Thomas Jefferson Park,40.7922,-73.9382,0,"Thomas Jefferson Park is a public park in East Harlem, Manhattan, New York City. The park features recreational facilities including playgrounds, basketball courts, and sports fields."
